1.32	3.34	s1
3.34	10.54	a
10.54	13.2	b
13.2	16.66	c
16.66	21.14	d
21.14	28.18	e
28.18	31.58	f
31.58	37.4	g
37.4	47.1	h
47.1	54.2	i
54.2	71.24	j
71.24	78.2	k
78.2	81.96	l
81.96	89.64	m
89.64	92.56	n
92.56	94.5	o
94.5	97.5	p
97.5	106.02	q
106.02	112.42	r
112.42	114.72	s
114.72	123.36	t
123.36	137.44	u
137.44	141.22	v
141.22	153.36	w
153.36	165.92	x
165.92	173.4	y
173.4	190.26	z
190.26	196.06	aa
196.06	202.98	ab
202.98	210.14	ac
210.14	211.94	ad
211.94	219.36	ae
219.36	229.42	af
229.42	240.34	ag
240.34	248.52	ah
