0	5.94	s1
5.94	15.14	a
15.14	36.36	b
36.36	47.28	c
47.28	57.52	d
57.52	62.98	e
62.98	69.46	f
69.46	73.6	g
73.6	76.68	h
76.68	81.62	i
81.62	86.92	j
86.92	89.82	k
89.82	115.18	l
115.18	118.88	m
118.88	133.74	n
133.74	137.72	o
137.72	144.12	p
144.12	148.62	q
148.62	160.28	r
160.28	162.42	s
162.42	169.24	t
169.24	177.08	u
177.08	180.78	v
180.78	186.24	w
186.24	192.14	x
192.14	201.06	y
201.06	203.42	z
203.42	218.08	aa
218.08	224.46	ab
224.46	235.62	ac
235.62	239.16	ad
239.16	247.28	ae
247.28	254.12	af
254.12	258.42	ag
258.42	261.84	ah
