1.6	2.68	s1
2.68	6.78	a
6.78	11.24	b
11.24	14.08	c
14.08	19.06	d
19.06	23.74	e
23.74	27.06	f
27.06	33.1	g
33.1	37.44	h
37.44	41.1	i
41.1	45.54	j
45.54	51.2	k
51.2	53.62	l
53.62	58.84	m
58.84	61.22	n
61.22	65.02	o
65.02	68.58	p
68.58	70.86	q
70.86	74.76	r
74.76	77.18	s
77.18	79.88	t
79.88	81.04	u
81.04	84.72	v
84.72	89.7	w
89.7	94.28	x
94.28	101.28	y
101.28	105.94	z
105.94	110.1	aa
110.1	114.88	ab
114.88	117.08	ac
117.08	120.86	ad
120.86	123.38	ae
123.38	125.74	af
125.74	129.58	ag
129.58	142.32	ah
142.32	150.24	ai
