0	5.48	s1
5.48	26.98	a
26.98	32.94	b
32.94	37.24	c
37.24	61.4	d
61.4	70.44	e
70.44	82.54	f
82.54	88.68	g
88.68	103.66	h
103.66	113.6	i
113.6	120.2	j
120.2	124.56	k
124.56	155.86	l
155.86	168.48	m
168.48	177.58	n
177.58	190.34	o
190.34	199.38	p
199.38	207.4	q
207.4	222.36	r
222.36	227.96	s
227.96	236.44	t
236.44	242.9	u
242.9	249.52	v
249.52	264	w
264	270.24	x
270.24	301.06	y
301.06	308.26	z
308.26	313.12	aa
313.12	327.54	ab
327.54	339.68	ac
339.68	349.5	ad
349.5	361.36	ae
361.36	367.14	af
367.14	370.48	ag
370.48	379.22	ah
379.22	393.68	ai
393.68	410.3	aj
410.3	417.72	ak
417.72	424.66	al
424.66	428.82	am
428.82	440.38	an
440.38	448.8	ao
448.8	456.5	ap
456.5	460.62	aq
460.62	469.94	ar
469.94	486.06	as
486.06	492.36	at
492.36	500.02	au
500.02	505.56	av
