1.16	5.52	s1
5.52	18.1	a
18.1	20.78	b
20.78	23.28	c
23.28	28.84	d
28.84	38.12	e
38.12	40.7	f
40.7	42.44	g
42.44	49.58	h
49.58	53.42	i
53.42	59.04	j
59.04	61.24	k
61.24	63.14	l
63.14	73.92	m
73.92	79.64	n
79.64	84.16	o
84.16	89.76	p
89.76	95.1	q
95.1	100.76	r
100.76	112.86	s
112.86	120.42	t
120.42	125.52	u
125.52	131.2	v
131.2	136.92	w
136.92	145.18	x
145.18	153.12	y
153.12	155.48	z
155.48	157.32	aa
157.32	165.88	ab
165.88	171.64	ac
171.64	177.2	ad
177.2	185.76	ae
185.76	191.48	af
191.48	203.5	ag
203.5	206.2	ah
206.2	207.98	ai
207.98	212.76	aj
212.76	217	ak
217	222.02	al
222.02	226.6	am
226.6	232.68	an
232.68	241.24	ao
241.24	245.52	ap
245.52	255.2	aq
255.2	275.38	ar
275.38	292.44	as
292.44	297.24	at
297.24	302.7	au
302.7	306.36	av
306.36	314.68	aw
314.68	319.96	ax
319.96	324.28	ay
324.28	329.54	az
329.54	336.08	ba
336.08	342.1	bb
342.1	350.2	bc
350.2	359.54	bd
359.54	363.48	be
363.48	369.14	bf
369.14	376.96	bg
