0.48	7.44	s1
7.44	12.4	a
12.4	17.36	b
17.36	22.28	c
22.28	27.14	d
27.14	38.22	e
38.22	52.48	f
52.48	60.92	g
60.92	69.38	h
69.38	81.58	i
81.58	87.44	j
87.44	94.94	k
94.94	107.48	l
107.48	116.8	m
116.8	124.8	n
124.8	127.16	o
127.16	142.84	p
142.84	147.36	q
147.36	154.32	r
154.32	159.72	s
159.72	167.2	t
167.2	173.82	u
173.82	189.48	v
189.48	205.14	w
205.14	224.34	x
224.34	240.7	y
240.7	247.34	z
247.34	284.18	aa
284.18	308.42	ab
308.42	319.04	ac
319.04	321.64	ad
321.64	326.52	ae
326.52	336.52	af
336.52	342.48	ag
