0.94	3.06	s1
3.06	10.84	a
10.84	18.34	b
18.34	31.88	c
31.88	45.38	d
45.38	53.86	e
53.86	63.06	f
63.06	66.88	g
66.88	81.18	h
81.18	87.16	i
87.16	90.24	j
90.24	106.38	k
106.38	112.04	l
112.04	114.06	m
114.06	128.88	n
128.88	134.12	o
134.12	145.46	p
145.46	161.14	q
161.14	165.58	r
165.58	178.74	s
178.74	188.28	t
188.28	191.42	u
191.42	196.44	v
196.44	207.14	w
207.14	212.44	x
212.44	217.6	y
217.6	225.86	z
225.86	229.54	aa
229.54	232.98	ab
232.98	236.34	ac
236.34	254.08	ad
254.08	259.58	ae
259.58	268.12	af
268.12	274.34	ag
274.34	279.6	ah
279.6	312.2	ai
312.2	318.82	aj
318.82	327.94	ak
327.94	339.44	al
