0	4.22	s1
4.22	10.22	a
10.22	22.58	b
22.58	30.96	c
30.96	34.6	d
34.6	39.24	e
39.24	44.64	f
44.64	68.02	g
68.02	93.48	h
93.48	114.18	i
114.18	119.26	j
119.26	128	k
128	131.22	l
131.22	135.62	m
135.62	143.84	n
143.84	153.94	o
153.94	157.3	p
157.3	167.72	q
167.72	171.56	r
171.56	178.34	s
178.34	183.34	t
183.34	189.28	u
189.28	197.06	v
197.06	211.5	w
211.5	220.76	x
220.76	224.9	y
224.9	246.42	z
246.42	254.74	aa
254.74	260.94	ab
260.94	263.84	ac
263.84	267.68	ad
267.68	280.02	ae
280.02	294.62	af
294.62	302.68	ag
