0	4.22	s1
4.22	25.68	a
25.68	44.1	b
44.1	50.1	c
50.1	80.76	d
80.76	93.88	e
93.88	100.76	f
100.76	107.72	g
107.72	117.04	h
117.04	125.72	i
125.72	137.7	j
137.7	144.32	k
144.32	168.12	l
168.12	183.62	m
183.62	215.56	n
215.56	223.8	o
223.8	229.82	p
229.82	232.32	q
232.32	241.88	r
241.88	245.2	s
245.2	256.82	t
256.82	269.92	u
269.92	276.12	v
276.12	289.74	w
289.74	298.98	x
298.98	304.56	y
304.56	310.18	z
310.18	319	aa
319	328.58	ab
328.58	342.1	ac
342.1	348.66	ad
348.66	363.44	ae
363.44	374.08	af
374.08	385.98	ag
385.98	399.7	ah
399.7	406.02	ai
406.02	416.6	aj
