0.84	3.58	s1
3.58	10.04	a
10.04	26.26	b
26.26	31.36	c
31.36	34.72	d
34.72	41.9	e
41.9	48.92	f
48.92	55.48	g
55.48	61.52	h
61.52	71.16	i
71.16	77.2	j
77.2	87.46	k
87.46	94.5	l
94.5	106.26	m
106.26	112.18	n
112.18	116.46	o
116.46	124.7	p
124.7	131.26	q
131.26	142.5	r
142.5	157.62	s
157.62	163.68	t
163.68	171.12	u
171.12	183.72	v
183.72	189.44	w
189.44	197.12	x
197.12	202.66	y
202.66	208.48	z
208.48	220.56	aa
220.56	226.62	ab
226.62	237.76	ac
237.76	244.94	ad
244.94	250.12	ae
250.12	260.64	af
260.64	262.86	ag
262.86	273.84	ah
273.84	282.56	ai
282.56	294.56	aj
294.56	306.14	ak
306.14	310.06	al
310.06	319.4	am
319.4	334.06	an
334.06	342.54	ao
342.54	348.4	ap
348.4	364.2	aq
364.2	370.1	ar
370.1	375.54	as
375.54	381.92	at
