0	7.32	s1
7.32	18.14	a
18.14	25.7	b
25.7	36.18	c
36.18	41.88	d
41.88	45.88	e
45.88	58.26	f
58.26	65.22	g
65.22	72.34	h
72.34	76.14	i
76.14	80.28	j
80.28	83.92	k
83.92	88.96	l
88.96	97.7	m
97.7	107.72	n
107.72	121.84	o
121.84	129.74	p
129.74	139.28	q
139.28	147	r
147	159.48	s
159.48	170.32	t
170.32	181.78	u
181.78	191.02	v
191.02	196.5	w
196.5	205.04	x
205.04	209.34	y
209.34	214.14	z
214.14	218.62	aa
218.62	226.62	ab
226.62	241.54	ac
241.54	246.9	ad
246.9	264.1	ae
264.1	267.12	af
267.12	278.88	ag
278.88	286.66	ah
286.66	292.9	ai
292.9	300.88	aj
300.88	311.36	ak
311.36	317.66	al
317.66	329.24	am
329.24	332.06	an
332.06	343.84	ao
343.84	354.46	ap
354.46	377.18	aq
377.18	386.56	ar
386.56	399.68	as
399.68	409.6	at
409.6	431.62	au
431.62	444.14	av
444.14	449.2	aw
449.2	464.36	ax
