0	7.12	s1
7.12	18.74	a
18.74	31.92	b
31.92	39.32	c
39.32	46.82	d
46.82	59.32	e
59.32	62.4	f
62.4	68.7	g
68.7	77.06	h
77.06	81	i
81	85	j
85	88.94	k
88.94	93.58	l
93.58	100.82	m
100.82	105.72	n
105.72	115	o
115	120.92	p
120.92	129.38	q
129.38	139.88	r
139.88	150.18	s
150.18	154.02	t
154.02	160.42	u
160.42	173.84	v
173.84	177.54	w
177.54	201.84	x
201.84	212.68	y
212.68	221.16	z
221.16	232.56	aa
232.56	240.92	ab
240.92	249.1	ac
249.1	252.74	ad
252.74	268.88	ae
268.88	287.06	af
287.06	295.74	ag
295.74	305.8	ah
305.8	308.98	ai
308.98	320.42	aj
320.42	327.16	ak
