0	5.24	s1
5.24	13.26	a
13.26	18.32	b
18.32	27.1	c
27.1	39.34	d
39.34	45.1	e
45.1	58.12	f
58.12	86.46	g
86.46	93.72	h
93.72	96.78	i
96.78	100.3	j
100.3	105.38	k
105.38	107.88	l
107.88	114.38	m
114.38	117.7	n
117.7	121.54	o
121.54	125.96	p
125.96	134.74	q
134.74	141.92	r
141.92	151.28	s
151.28	156.38	t
156.38	163.48	u
163.48	176.2	v
176.2	187.52	w
187.52	195.58	x
195.58	211.46	y
211.46	220.2	z
220.2	228.92	aa
228.92	232.16	ab
232.16	234.42	ac
234.42	238.1	ad
238.1	242.16	ae
242.16	248.6	af
248.6	256.96	ag
256.96	263.6	ah
263.6	269.68	ai
269.68	277.44	aj
