0	5.54	s1
5.54	23.44	a
23.44	33.66	b
33.66	36.48	c
36.48	46.94	d
46.94	56.88	e
56.88	68.58	f
68.58	74.36	g
74.36	81.08	h
81.08	90.36	i
90.36	96.98	j
96.98	100.48	k
100.48	113.66	l
113.66	120.32	m
120.32	127.72	n
127.72	134.22	o
134.22	143.04	p
143.04	160.48	q
160.48	178.02	r
178.02	191.54	s
191.54	195.74	t
195.74	203	u
203	206.58	v
206.58	212.38	w
212.38	235.76	x
235.76	240	y
240	246.44	z
246.44	262.76	aa
262.76	282.68	ab
282.68	289.24	ac
289.24	319.16	ad
319.16	352.32	ae
352.32	371.52	af
371.52	389.2	ag
389.2	391.62	ah
391.62	406.24	ai
406.24	411.44	aj
411.44	421.46	ak
421.46	425.2	al
425.2	442.68	am
442.68	458.34	an
458.34	478.12	ao
478.12	484.62	ap
484.62	497.92	aq
497.92	507.02	ar
507.02	512.68	as
512.68	527.84	at
527.84	539.14	au
539.14	546.4	av
546.4	553.02	aw
553.02	561.26	ax
561.26	565.84	ay
565.84	573.24	az
573.24	583.4	ba
583.4	589.4	bb
589.4	601.48	bc
601.48	606.38	bd
606.38	623.44	be
623.44	635.44	bf
635.44	639.44	bg
639.44	647.62	bh
647.62	651.84	bi
651.84	661.52	bj
661.52	675.52	bk
675.52	680.36	bl
680.36	686.2	bm
