0	2.24	s1
2.24	11.06	a
11.06	19.66	b
19.66	24.8	c
24.8	34.16	d
34.16	37.82	e
37.82	46.76	f
46.76	53.12	g
53.12	56.9	h
56.9	73.82	i
73.82	80.58	j
80.58	87.54	k
87.54	94.84	l
94.84	106.66	m
106.66	111.96	n
111.96	115.3	o
115.3	119.92	p
119.92	134.36	q
134.36	147.5	r
147.5	154.18	s
154.18	157.2	t
157.2	159.3	u
159.3	170.62	v
170.62	175.98	w
175.98	181.8	x
181.8	188.38	y
188.38	192.14	z
192.14	206.38	aa
206.38	210.3	ab
210.3	216.72	ac
216.72	223.08	ad
223.08	228.28	ae
228.28	241.82	af
241.82	255.8	ag
255.8	268.6	ah
